ilac,yorum,kaynak,yan_etki,kategori
parol,hamilelerin içebileceği bebeğe zarar vermeyen yegane tek ilaç.  (bkz:  hamileyim ) (bkz:  ordan biliyorum ),eksisozluk,0,yok
voltaren,"kas gevşetici romatizmal ağrılar için kullanılan  merhem , em ,  ilaç",eksisozluk,0,yok
voltaren,kokusuz olan merhem ..kokulusu için (bkz:  bengay ),eksisozluk,0,yok
voltaren,kokusu spor salonlarinin soyunma odalarini dolduran jel...,eksisozluk,0,yok
voltaren,"merheminin yaninda ignesi de vardir, ozellikle  adet sancisi  ceken bayanlar, durum hakikaten elden ciktigi zaman kullanirlar.",eksisozluk,0,yok
voltaren,"diflofenak sodyum içeren  antienflamatuar  ve  analjezik  olarak kullanılan bir ilaç; merhem , hap ve ampul formunda satılmaktadır.",eksisozluk,0,yok
voltaren,"(bkz:  bilek burkulması ) durumlarında doktorlar tarafından tavsiye edilen, nane gibi kokan jel...",eksisozluk,1,diger
voltaren,her türlü adele agrısına iyi gelen mucizevi bir ilactır bu...kremi cok etkilir ama ignesi bambaskadır.boynu tutulan kisinin hemen bu ilacın ignesi yaptırmalıdır.cok kısa bir süre icersinde tutulan boyun kendini bırakıcak ve yavsicaktır...,eksisozluk,0,yok
arveles,dismenore  için önerilenilaçlardan biri yan etkilerinin arasında abdominal ağrı olmasıyla güldürmüş ilaç,eksisozluk,0,yok
arveles,şiddetli baş ağrılarında etkili olan ilaç. rahatça apranaxdan terfi edilebilir zira 500 mg almak yerine 25 mg ilaç alıyorsunuz şaaak diye kesiliyor ağrı.  ps: en azından bende,eksisozluk,0,yok
arveles,bazı bünyelere hiçbir şekilde işlemeyen ilaç (ben de dahilim bu güruha; bana mısın demedi) bence denemek istiyorsanız bir de çantanızda plan b analjezik de bulunsun; sürünmeyin.,eksisozluk,0,yok
arveles,ibrahim etem ulagay - menarini ilaç grubunun ürettiği oldukça etkili bir ağrıkesicidir. hemen hemen tüm ağrılar için kullanılabilir. özellikle baş ağrılarında oldukça hızlı etkisini gösterir.,eksisozluk,0,yok
arveles,herkes arvelesin bi özelliğini yazmış ben de kutusunun rengini söyliyeyim bari. efendim kutusu mavi beyazdır. beyaz kısmı mavi kısma doğru üçgen şeklinde girinti yapar. tablet formlarının kutusu dikdörtgen şeklindedir. ampul içeren kutuları yine dikdörtgen olmakla beraber biraz daha geniştir. ampuller hem im ( intramuscular) ( kas içine ) hem de iv (intravenöz) ( damar içine ) olarak kullanılabilir. ayrıca etken madde olarak deksketoprofen trometamol içerir diyerek sunumuma burada son vermek istiyorum sayın seyirciler. muhabiriniz nahiyyeaa eczaneden bildirdi ! esen kalın.,eksisozluk,0,yok
arveles,ketoprofen  (bkz:  profenid ) isimli maddenin aktif enantiyomeri olan  deksketoprofen i içeren ilaç.,eksisozluk,0,yok
arveles,"potansiyel, real madrid'te oynayan ispanyol sağ bek ismi.",eksisozluk,0,yok
arveles,her satın almak istediğimde bana meksikalı bi kaçakçı ismine benzeyen alveres'i çağrıştıran ilaç adı.,eksisozluk,0,yok
cipralex,"10 mg. escitalopram etken maddeli citalopramdan olma  cipram dan doğma yeni  ssri . cipramdan daha seçici olduğu bu yüzden de yan etkilerinin daha az olduğu ve daha hızlı etki ettiği  söyleniyor. citalopram etken maddesinin terapötik olarak inaktif olan r-citalopram komponenti uzaklaştırılarak elde edilmiş. işbu yüzden cipralex namlı yeni ilacın cipramdan daha düşük dozlarda daha etkili olacağı iddia ediliyor, bu da tedavi maliyetini düşüreceğe benziyor. cipralex şu an için cipramdan ucuz ve o da atası gibi 28 tabletlik paketlerde satılıyor. 2002 yılında  fda  onayı almış. doktorunuza danışmadan kullanmayınız.",eksisozluk,0,yok
cipralex,ambalaj kutusunda olmadığı zaman (bkz:  cipram ) sanılan ilaç.,eksisozluk,0,yok
cipralex,"fda in 1992 de ongordugu sekilde iki ayri izomerden etkisiz olaninin ayristirildiktan sonra kullanima sunulmasi gerekliligi ilkesini hice sayip  sitalopram i piyasaya veren  lundbeck  (bkz:  lombak ) firmasinin,  cipram in patent suresi dolduktan sonra ""aaaa bak biz ne bulduk"" diye zaten olmasi gereken sekliyle piyasaya sundugu ilac.",eksisozluk,0,yok
cipralex,lundbeck  ilac firmasinin   ssk  ilac listesine giremediginden su anda ssk hastahanelerinde satilamayan antidepresani,eksisozluk,0,yok
cipralex,ilaç fiyatlarında yapılan yeni düzenlemelerle fiyatı bayağı bir aşağı çekilen yeni nesil prozac.,eksisozluk,0,yok
cipralex,"kullanmaya basladiktan yaklasik 2inci haftadan itibaren insandaki asiri heyecan, asiri sevinc, asiri uzuntu, asiri sinir, kisaca asiri tepkilerin tumunu ortalamaya ceken, bir nevi ruh torpusu ilac",eksisozluk,0,yok
cipralex,"daha yavaş sinirlenmeyi sağlayan. insanın öfke kontrolünü kaybetmesini biraz daha gecikteren güzel ilaç. (bıraktığımda farkettim gerçekten etkisi var) daha rahat bir hayat sürmek için almak gerekebilir. (psikiyatrist in verirken söylediği cümle : depresyonda değilsin bu ilaç senin yaşam standartlarını artıracak, daha rahat hissetmeni sağlayacak)",eksisozluk,1,norolojik
cipralex,"tepkileri törpüleyen, bazı bazı hissizleştiren, panik bozukluğun tedavisi için üç ay kullanılması gereken ilaç.",eksisozluk,0,yok
cipralex,onun degil de bunun  huzur  oldugunu gosteren bir ilac.  savior . (savmior.),eksisozluk,0,yok
prozac,yatistirici sakinle$tirici yasal uyu$turucu edit: külliyen yanlış olabilir bilgi sahibi değilim.,eksisozluk,0,yok
prozac,kullanmayi biraktiginda hayati zehir zemberek yapan ilac..,eksisozluk,0,yok
prozac,"prozac mutsuz bir insani mutlu yapmaz, seretonin dengesi bozuk olmayan insanlarda da jelibom yese daha etkili olur. kümülatif etkili bir ilac olup derin depresyon hallerinde 3-6 ay boyunca kullanmak gerekir. sindirim sistemine acaip etkileri vardir maksimum yogunlukta aromalı osuruklara sebep olabilir...",eksisozluk,1,sindirim
prozac,prozacın antidepresan olarak etkisini gösterebilmesi için bir süre düzenli olarak kullanmak gerekiyor.yan etkilerine bir göz atınca kötü hissettirmeyen bir yıkım olduğu düşünülebilir.asla bir uyuşturucu değil lafınıda en çok reçeteye procaz karalayan doktorlar kullanır...,eksisozluk,0,yok
prozac,libido yu düşürdüğü ve antidepresan olduğu için öğrencilere sınav zamanı verilir (doktorlar tarafından) başta iştah kapar ve bu sebepten dolayı kilo verilebilir... ancak uzun vadede etkiler tarsine döner.. libido eskiden daha fazla olur (bkz:  duz duvara tirmanmak ) ve iştah açılır..,eksisozluk,1,sindirim
prozac,"""sosyal endikasyon ve depresif hal"" teshisiyle eger depresyon durumunuz agır degilse günde tek doz kullanımının hayatınızı kurtardıgının farkına vardıgınızda doktora ettiginiz sesli ve sessiz küfürlerin tamamından utandıgınız, bırakmadan önce dozu yavas yavas azaltmanız gereken yoksa sizi daha kötü bir depresif hale sokacak olan, çogu zarar azı gercekten karar olan ilac..",eksisozluk,1,norolojik
prozac,50 mg fluoksetin hidroklorür ün ilaç hallerinden biri diğerleri için bakınız (bkz:  fulsac ) (bkz:  depreks ),eksisozluk,0,yok
sertralin,yaygın kullanılan bir antidepresan. (bkz:  lustral ) (bkz:  seralin ),eksisozluk,0,yok
sertralin,"ssrı (seçimli serotonin gerialım inhibitörü) sınıfı bir antidepresan. panik bozuklukta, panik atakların kontrol edilmesi ve engellenmesi hususunda çok yardımcıdır. * kullanıldığı diğer alanlar olan okb, sosyal fobi ve majör depresyon gibi rahatsızlıklarda ise ancak farklı desteklerle ciddi iyileşme sağlayabildiği gösterilmiştir. her antidepresan gibi ciddi bir şeydir. bir işe yaramıyor, yutun, 500lük yutun 1000lik yutun falan gibi şeylerle geleni ıslak hortumla dövüyorum.",eksisozluk,1,norolojik
sertralin,hiç tanımadığı birine küfretmekten çekinmeyen yazar. http://i.hizliresim.com/9q8byr.png,eksisozluk,0,yok
sertralin,"babannişkomun severek kullandığı uyku yapmadığını söylediği minik hapcık. 2 gün önce yüksek tansiyondan dolayı hastaneye kaldırdık o günden sonra içinde bir korku evham oluşmuş.yıllar önce verilen bu ilaca yeniden başladı.tabii bi hafta geçmeden etkisini gödtermiyor. tansiyon umrumda değil korkularım gitse keşke diye dua ediyor. evde yalnız kalamıyor aklına kötü şeyler geliyor. dün yalnız bırakmamak için tam yanına iniyordum ki kendisi beni aradı bana ayaktaş olur musun diye. bir de utangaç bir de masum ki sanırım utanma huyumu kendisinden almışım. kaç yıllık torunuyum hala çekinerek arar beni. biraz destek olmaya ve anlamaya çalıştım konuyu değiştirsem de sürekli hastalığı konuşmak istiyordu. korkunun içinde nasıl bir etki yaptığını öğrenmek istedim. içimden ılık ılık bir şeyler geçiyor, kollarım çıng çıng ediyor. bazen zıngır zıngır titriyor içim dedi. ilacın da etkisiyle ağızları kuruyor sürekli yalanıyordu tontişim. şimdi daha etkili ilaçları almak için almanya'daki doktorundan randevu aldı. ama önümüzdeki bi haftayı nasıl geçirecek, çok üzülüyorum nasıl hafifletebilir ki bu korkuyu. her şeyin bilincinde zamanında da bu hastalıklar başına gelmiş çok kez yaşamış o yüzden bilinçli ama yine de engel olamadığı bir korku bu.allah pskikolojik sorunları olan herkesin gönlünü ferah tutsun inşallah.",eksisozluk,1,norolojik
sertralin,dönem aralığına bakın diş teli takan onbinler göreceksiniz,eksisozluk,1,diger
sertralin,"etkinliğinin az olması gibi, yan etkileri de diğer antidepresanlardan daha azdır. bu yüzden yaşlılar da dahil olmak üzere, hastalara çok yaygın olarak reçete edilir. suisid için uygun değildir. gramlarca alındığı halde, bulantı ve ishal yapar. ama öldürmez. biraz da bu yönüyle yaygın olarak hastalara verilmektedir. yani suisid girişimi bakımından daha güvenlidir. ormanda derler ki: ""ancak ve ancak, kişiye sertralin dolu bir kamyon çarparsa kişi ölür""",eksisozluk,1,sindirim
paxil,paroxetine hcl icerikli anti depresan.glaxosmithkline'nin yeni mamulu.,eksisozluk,0,yok
paxil,çocuklar duymasın ekibi tarafından bir tanıtım filmi çekilen anti depresan bir ilaç. kısaca mutluluk ilacı,eksisozluk,0,yok
paxil,"drow  lisanında çürüme, bozulma anlamına gelen sözcük.",eksisozluk,0,yok
paxil,"tüm depresyon tipleri,anksiyete bozukluklarının tedavisinde kullanılabilen,aniden bırakılmaması gereken, bırakıldıgı takdirde insanın gününü mahvedip sarhos olmaktan beter eden  *  bir  anti depresan .",eksisozluk,1,norolojik
paxil,"hafif siddette gerceklesen  depresyon larda doktorlarin reçete ile verdikleri, insanda hafif derecede uyusukluk yapan  prozac  turu bir antidepresan ilaçtir.",eksisozluk,1,norolojik
paxil,"diger anti depresanlar kadar uyku vermedigi, daha cok gulucuk verdigi icin bir cok kimsenin tercih sebebi olan ismi gicik ilac.  prozac  tan uc kat daha iyi oldugu soylenir",eksisozluk,1,norolojik
paxil,depresan etkisinin yanında anksiyeteyede çözüm getiren seroxat ın paket değiştirmiş hali yurt dışında adı en çok mahkemelerde yankılanan antidepresanlardan temkinli davranılmasında yarar var,eksisozluk,1,norolojik
paxil,"tum yan etkilerine (bkz:  bas donmesi,halsizlik,uyku,mide bulantisi ) ragmen ilk gunden itibaren isini iyi yaptigini gordugum ilac. (bkz:  mutluluktan ucacagim abidin )",eksisozluk,1,sindirim
paxil,"midemi mahveden ,sabahtan beri böğürmeme sebebiyet veren antidepresan",eksisozluk,1,sindirim
paxil,"bırakıldığı takdirde ilk birkaç gün sarhoş gibi dolaşmanıza, kış ortasında askılılarla gezmenize sebep olabilir. ellerinizin titremesi ve bunu kontrol altına alamamanız da ayrı bir olaydır. alınmaya başlandığında da mide bulantısı, baş dönmesi gibi etkileri kendini göstermeye başlar. bunların dışında etrafa gülümseyen bir suratla bakmanızı sağlar.",eksisozluk,1,sindirim
lustral,"eski metallium gitaristi, yeni  karton  insani, sevgili arkadas. motoru var, kaski var, kedisi var. seviyorum :)",eksisozluk,0,yok
lustral,"serotonin geri alım inhibitoru olup,salgılanan serotoninlerin vucutta serbestce dolasmasına izin vererek,panik atak,depresyon ve obsesif kompulsif bosukluk tedavisinde etkili olan bir anti-depresan turu",eksisozluk,1,norolojik
lustral,sizin tepki vereceğiniz varsa kesinlikle etkileyemeyen ilaç...,eksisozluk,0,yok
lustral,"oyle bir hafta kullanarak hic bir sonuc elde edemeyeceginiz, uzun sureli ve duzenli kullanim gerektiren hafif bir antidepresan.",eksisozluk,0,yok
lustral,"uzun süreli kullanımda işe yarayan, en sinirlenmeniz gereken anda bile ""boşver yav, daha sonra sinirlenirim"" hissi veren ilaç... yan etkisi ise erkeklerde ejekülasyonu geciktirme... edit :  bu yan etki kadınlarda da geçerliymiş...",eksisozluk,0,yok
cipram,"var böyle bi$ii!!! hem de hayat kurtaran cinsinden... haddime düşmeksizin iddia edebilirim ki a/d'lerin en iyisi, en efektifidir, günün birinde asla ihtiyaç duyulmaması dilenir...",eksisozluk,0,yok
cipram,"avrupada cipramil, abd'de celexa olarak piyasadadır.",eksisozluk,0,yok
cipram,"danimarka kokenli lundbeck ilac firmasi tarafindan 2000 yilindan beri turkiye'de pazarlanan bir antidepresan, daha evvel yerli bir firma olan liba tarafindan satiliyordu.",eksisozluk,0,yok
cipram,tarih itibariyle 66 milyona edinilebilicek mutluluk.,eksisozluk,0,yok
cipram,amerikadaki en ucuz turkiyedeki en pahalli ssri. ilac etkilesim profili en duzgun olan ssri lardan biridir karacigerde d26 inhibisyonu yapmaz. anksiyolitik profili de fena diildir.,eksisozluk,0,yok
cipram,oda ısısında saklanmalıdır. reçete ile satıldığı için gerekirse bir sonraki kutuya başlamadan önce tekrar kontrole gitmek gerekir.,eksisozluk,0,yok
cipram,migren  tedavisinde de kullanilan  anti depresan .,eksisozluk,0,yok
cipram,"etkisini aldıktan 15 gün sonra göstermeye başladığı söylenen, ilk zamanlarda hafif bir baş dönmesi, bulantı hissi veren, iyi olsanız bile altı ya da sekiz ay kullanmanız gereken anti depresan.",eksisozluk,1,sindirim
cipram,"pek çok antidepresan gibi ilk başta 2 hafta boyunca yarım olarak alınan ve en az 6 ay kullanılması gereken,ayakta uyutan ve bırakıldığı takdirde ağlama krizlerine sokan ilaç. aniden bırakıldığında  kesilmek bilmeyen baş dönmeleri olmasına sebep veren ve başlarken olduğu gibi kişinin kendini sersem gibi hissetmesine yol açan ilaç.rahatlatır,uykuyu düzene sokar,anormal yan etkileri yapmaz,24 saat gülücükler saçtırır...",eksisozluk,1,norolojik
augmentin,"super bir  antibiyotik . 1100'lugu ak$amdan sabaha silkeler bocekleri, bakterileri, direkman ayaga kaldirir.",eksisozluk,0,yok
augmentin,"amoksisilin  ve  klavulanat (klavulanik asit olarak da geçer) bileşiminden oluşan,  fako ilaç  firması tarafından üretilen antibiyotik.",eksisozluk,0,yok
augmentin,"1000'lik versiyonunun her film tabletinde; 875 mg amoksisiline eşdeğer amoksisilin trihidrat, 125 mg klavulanik asite eşdeğer potasyum klavulanat ve boyar madde olarak titandioksit içeren antibiyotik (bkz:  bokunu çıkarmak )",eksisozluk,0,yok
augmentin,amoklavin muadili...daha artiz karakterlisi ema...bid formu cikali da cok oldu...gunde 2 adet kafi geliyor...,eksisozluk,0,yok
augmentin,3 kutu icmi$ olmama ragmen hala beni ayaga kaldiramayan antibiyotik * .,eksisozluk,0,yok
augmentin,"bir de surup augmentin vardir.cocuklugumda ondan icirilirdim. igrenctir tadi ve kokusu, halen unutmadim cektiklerimi onu icerken.",eksisozluk,0,yok
augmentin,yirmi yaş dişinin yol açtığı ibneliklerde doktor bunu yazar. hakkaten işe yarar.,eksisozluk,0,yok
augmentin,"%10'unu ödediğinizde  *  bile bir öğrenciye çok gelecek kadar fahiş fiyatı olan, doktorların en sıradan soğuk algınlıklarında bile hemen yazdığı, mucivezi özellikleri olmayan bir antibiyotik.",eksisozluk,0,yok
augmentin,"an itibariyle 1000 mg fiyati 31,47 ytl'dir. bilgisayar mühendislerinde siddetli göz agrisi yan etkisi vardir.",eksisozluk,0,yok
amoksisilin,"yarısentetik bir  penisilin . bağırsak tan emilimi çok iyi olması önemlidir.  gram negatif bakteri lere yüksek etkinlik gösterir.  klavulanik asit ( klavulanat ) (ki o  beta laktamaz inhibitörleri  grubuna dahil bir maddedir) ile beraber kullanımı sayesinde,  beta laktamaz ların yaptığı parçalanmadan korunma şansları, dolayısıyla da etkinlikleri artar...(bkz:  augmentin )",eksisozluk,0,yok
amoksisilin,molekuler formulu c16 h19 n3 o5s.3h2o ve molekuler agirligi ise 419.45 'tir. orijinal yazimi amoxicillin 'dir.,eksisozluk,0,yok
amoksisilin,"sari-kirmizi, 500 gramlik kapsullerden iki tane sallayip, bogazimin agrisini geciren super ilac. (acaba placebo efekti mi yapti ne?) allah bulana, yapana dert gostermesin.",eksisozluk,1,sindirim
amoksisilin,1000 mg lık olanı yutulamayıp boğaza yapışan antibiyotik. yarıya bölüp yutmaya çalıştığımda gene yapışıyor. susuz ilaç yutmak/@sare  entryimi bana yedirttiren ilaç olmuştur.,eksisozluk,0,yok
amoksisilin,vücudun c vitamini takviyeli savunma sisteminin 3 gündür indiremediği şişmiş bademcikleri ilk kullanımdan 3 saat sonra huzura kavuşturan şey,eksisozluk,0,yok
amoksisilin,diş tedavisi öncesinde kalp kapakçığı sorunu olanlarda  enfektif endokardit  gelişmesini engellemek için kullanılması gereken antibiyotik.,eksisozluk,1,kardiyovaskuler
amoksisilin,"kullanmayi nedense sevmedigim genis spektrumlu antibiyotiktir. sindirim sistemine advers etkileri coktur. 45 gun icerisinde, ikinci kez almak mecburiyetinde kaldim. eczacinin beni antibiyotiklerden uzaklastirip, farenjitten sut beyazi olmus bogazimin  semptomatik  tedavisi icin pastillere aspirinlere yoneltmesi, yatistirmasi gerekirken, dayadi 1000mg  klamoks bid 'i. umudumuz, bogaz agrimizin  viral  sebepli olmamasi. 1000mg lik haplariyla taso, misket gibi oyunlar oynanabilir, tavlada kayip pul yerine kullanilabilir, zira yutulmasi icin yapilmamis gibi duruyor. kendime not: hastayken  house  izlemiyoruz.",eksisozluk,1,sindirim
amoksisilin,"manyak kafasi var bu ilacin.. inanilmaz durgunlasiyor insan, öroyin yuklemis gibi oluyor. (bkz:  kiza öroyin yükleyin ) tum yasam enerjisini ve hatta sevincini goturuyor, en azimdan benim bunyemde boyle. amoksilin kullandigim gunlerde gunde 17 saat uyudugumu bilirim.",eksisozluk,0,yok
amoksisilin,"çok güzel osuruk kokuyor. parmağım kadar hap, kokusu ve o iğrenç tadıyla kusmamak için kendimi zor tutuyorum.",eksisozluk,1,sindirim
amoksisilin,butun bir haftasonu boyunca iltihaplanmaktan gebermis bogazlarimi 3 saat icinde rahatlatmis antibiyotiktir. yerim ben onu. tek sorun butun hafta kullanmak zorunda olmam.,eksisozluk,1,sindirim
klaritromisin,bir  makrolid  turu  antibiyotik ..alt ve ust solunum yolu infeksiyonlarinda endikedir.,eksisozluk,0,yok
klaritromisin,kullanıldığı süre içerisinde ağız tadınızı bozan  antibiyotik. atipik pnömonilerin vazgeçilmezi.,eksisozluk,1,sindirim
klaritromisin,toplum kökenli pnömonide tercih edilmesi gereken ilk ilaç. ayrıca otitis media ve sinuzit tedavisinde de oldukça başarılıdır.,eksisozluk,0,yok
klaritromisin,"m. avium , t. gondi , h. pilori, h. influenza bakterilerinde etkili antibiyotik. dokulara dağılımı iyidir.",eksisozluk,0,yok
klaritromisin,uykusuzluk ve kişilik değişikliğine neden olan antibiyotiktir..,eksisozluk,1,norolojik
klaritromisin,"kullanımı oldukça zor olan antibiyotik. ağızda bıraktığı metalik tattan dolayı iştah bırakmaz, mide bulantısı yapar, kısmen hayattan soğutur ama ölüyü de diriltiyor hani.",eksisozluk,1,sindirim
klaritromisin,(bkz:  klacid ) (bkz:  macrol ) (bkz:  deklarit ) (bkz:  klamer ) (bkz:  klarolid ),eksisozluk,0,yok
klaritromisin,çok etkilidir ancak agzınız zehir yutmuş gibidir kullandıgınız sürece.,eksisozluk,0,yok
nexium,helicobacter pylori  ve gastrit teshisi ile aladurdugum (bkz:  emedur ) sabahlari ac karnina alinan isvicre de uretilen  afilli  ilac.,eksisozluk,0,yok
nexium,"turkcede mide yanmasi olarak tabir edilen mide asidinin girtlak borusuna kacmasi ve aci icinde yanmalara sebep olmasini gecici olarak tedavi eden ilactir.  prilosec  isimli ilacin cikisinin ve ustelik recetesiz satisinin ardindan sigorta sirketlerinin odemesinde en cok sorun cikarttigi ilaclarin da basinda gelir, 30 gunluk receteli nexium icin 159 dolar isteyen eczaciya aval aval bakmam sonucu anlattigina gore bu ilaci alabilmek icin receteden ziyade doktordan kesin olarak hastanin bu ilaca ihtiyaci var onayi gerekiyormus sigorta sirketinin odemeyi yapmasi icin..",eksisozluk,1,sindirim
nexium,yemeklerden en az 1 saat önce ve hep aynı saate alınması önerilir ki bu bilgi ilaç prospektüsünde yazılmamıştır.  http://www.always-health.com/nexium_benifits.html,eksisozluk,0,yok
nexium,bugün  radikal  gazetesinde cikan bir habere göre demir ve kalsiyum emilimini engelleyerek kalca kirigi riskini arttiran da bir ilacmis.,eksisozluk,1,sindirim
nexium,"nexium (esomeprazol) dünyanın ilk ve tek izomer proton pompa inhibitörüdür. s ve r izomerin birbirinden ayrılması sonucu elde edilmiştir. bu teknoloji sayesinde beş bilim adamı nobel kimya ödülünü almışlardır. özellikle şu anda tüm dünyada en çok satan ikinci ilaçtır. asıl tercih edilme nedeni daha fazla hastayı iyileştirmesidir. ilk kez 2003 yılında türkiye'de piyasaya verilmiş, bir buçuk yıl gibi kısa bir sürede grubunda en çok tercih edilen ilaç olmuştur. özellikle gastro özofageal reflü (görh), peptik ve duedonal ulcus, helicobacter pylori eradikasyonunun tedavisinde uygun antibiyotiklerle kombine, nsaid 'lerin gasro intestinal yan etkilerinin profilaksisinde, zollinger ellison sendromunda kullanılmaktadır. genelde 40mg tek doz kullanılmaktadır. özel mups tablet yapısı sayesinde etkinliği artırılmış ve suda eritilip yutma güçlüğü olan hastalarda kullanılma imkanı sağlanmıştır.",eksisozluk,1,sindirim
